Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,Infinity%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
Pais,Ventas desde Febrero,Porcentaje sobre las ventas totales
Argentina,12,2.0547945%
Uruguay,17,2.915952%
Martinica,16,2.7444255%
